1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,,1.503,0.3368,1.1337,0.8982,0.492,0.8721,0.5036,1.2451,1.0219,1.469,1.044,0.7199,1.1825,1.1916,0.4637,1.0103,0.8669
,,1.397,1.0001,0.6163,1.5541,0.5791,0.9353,0.5697,0.7898,0.7798,0.6282,0.4366,0.8192,1.0985,1.4784,1.2159,0.8202,0.8259
,,1.509,0.7552,0.3473,2.0976,0.4862,1.3082,0.7651,0.9854,0.6735,0.9186,0.3781,1.6299,2.8034,1.0675,1.0263,0.7427,1.5949
,,0.9074,0.452,0.6107,1.7668,0.5329,1.1338,0.3534,1.1258,0.8419,0.9134,0.5142,0.4326,1.2065,1.8135,0.4947,0.9862,1.0731
,,2.2015,0.6306,1.0474,0.8597,0.6301,1.2321,0.6159,0.6589,0.5464,0.5944,0.4488,1.2872,1.6297,1.3557,0.7334,1.1313,1.1274
,,1.1829,1.0637,0.5652,1.8611,0.569,1.1356,0.4959,1.277,0.4827,0.5678,0.457,1.058,0.9504,1.3607,0.3295,0.7819,1.565
,,3.1789,0.8001,1.1354,1.3904,0.6556,0.9752,0.5555,1.3328,0.6355,1.0348,0.4223,1.5035,1.5626,1.5105,0.5144,0.7818,0.886
,,1.4702,1.0783,0.5065,1.2011,1.0283,2.9173,0.4552,0.7655,0.5334,0.5414,0.5127,1.0425,2.7168,1.627,0.6407,0.8002,1.2206
,,0.5077,0.4239,2.8816,1.5847,0.5407,1.545,0.5151,1.4549,0.6112,0.8312,0.5837,0.6277,0.9615,1.0165,0.7596,1.3257,2.7393
,,3.2107,1.2805,0.4189,1.3811,0.7705,0.7722,0.5026,0.6126,0.9932,1.4006,0.4706,1.0425,1.4023,2.5795,0.61,0.7945,0.8237
,,1.6894,1.3841,0.765,1.9061,0.7068,1.6653,0.6063,1.1286,0.5266,1.1625,0.5589,1.2085,0.8047,1.3741,0.3084,0.8132,1.2487
,,1.1623,0.6433,0.3501,1.2208,0.4946,0.8147,0.6875,1.1453,1.0098,0.6023,0.7997,2.304,1.3447,1.3217,0.3078,0.4784,0.6185
