1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
2.4329,2.838,1.4819,0.9538,0.7973,0.9597,0.9322,1.3409,0.7348,1.0334,0.4229,0.4376,0.7376,0.6733,0.585,0.985,0.8041,0.7981,1.1432
2.1568,2.3711,1.4028,0.8007,0.9078,0.6162,1.0984,1.0437,0.5933,1.0117,0.393,0.5106,0.737,0.3292,0.5584,1.0619,0.8633,0.6555,1.006
2.0345,1.7137,1.0603,0.5741,0.8613,0.7728,1.025,1.4492,0.6961,1.2947,0.5466,0.353,0.8979,0.4542,0.6447,0.7999,0.8747,0.8191,1.1256
1.8842,1.5674,1.187,0.8967,0.8922,0.6801,0.9773,1.5912,0.5656,0.8184,0.8517,0.4026,0.8021,0.64,0.8075,1.0073,0.6163,0.7669,1.1405
1.8132,2.2637,1.3527,1.0782,1.0351,0.8204,1.0528,0.9973,0.6986,0.7565,0.4073,0.3516,0.8253,0.5832,0.6328,1.2244,1.1376,0.7805,1.0293
2.9273,1.4934,1.122,0.5758,0.8351,0.5909,0.727,1.3823,0.4371,0.8852,0.4954,0.615,0.7186,0.6491,0.8348,1.0548,1.0628,0.8749,0.858
1.9802,1.0073,1.1938,0.7937,1.104,0.7796,0.79,1.174,0.6253,0.9592,0.458,0.4844,0.8559,0.5344,0.6735,1.3094,0.912,0.6526,1.1068
2.1138,1.6361,1.3099,0.5508,0.8079,0.6159,1.0269,1.5617,0.7701,0.9573,0.3532,0.4455,0.7862,0.6324,0.5122,0.9033,0.7242,0.7214,0.9742
1.8994,2.2299,1.1647,1.1551,1.0812,0.6339,0.7498,1.4608,0.7002,0.7132,0.3981,0.3792,0.7292,0.5836,0.6356,0.9937,0.792,0.8361,0.9983
2.3385,1.177,1.4828,0.8293,0.9832,0.782,0.7599,1.2563,0.6427,0.9926,0.3838,0.5417,0.9234,0.689,0.8752,1.044,0.8392,0.8377,0.9332
2.0778,1.4858,1.2041,0.8347,0.8532,0.8092,0.9356,1.6095,0.7018,1.1519,0.7459,0.3982,0.8118,0.501,0.7922,1.3073,0.8489,1.1258,1.4446
1.5404,2.0671,1.3625,0.7963,0.8542,0.9597,1.0575,1.3271,0.6644,1.5892,0.4949,0.4632,0.6722,0.4712,0.8355,0.9312,0.8235,0.7599,1.1819
1.8373,1.3921,1.1794,0.5937,0.9888,0.7144,1.1963,1.7487,0.5947,1.0128,0.4791,0.422,0.813,0.5373,0.5252,0.9485,0.8301,0.5912,1.197
2.4025,1.1016,1.5342,0.6933,0.9238,0.8562,1.4673,1.2738,0.4822,1.0968,0.5796,0.4557,0.754,0.4852,0.721,0.8899,1.025,0.9513,1.0361
1.8016,1.7684,1.368,0.7213,0.9757,0.8609,0.8058,1.1294,0.4833,0.699,0.7042,0.3895,1.0633,0.6368,0.5431,1.1832,0.8282,0.5876,1.1187
1.6692,2.2022,1.2387,0.8732,0.7206,0.5416,0.8743,1.3286,0.6339,0.9001,0.4142,0.3914,0.6828,0.59,0.5758,1.222,0.9976,0.7926,1.0464
1.8695,2.1692,1.2861,0.6685,0.8308,0.8268,1.0658,1.6409,0.7201,1.0955,0.4881,0.5336,0.8449,0.6422,0.4695,1.0961,0.8559,0.716,1.1925
2.018,1.2905,1.2663,0.9179,1.1967,1.0434,0.8957,0.954,0.9847,0.9062,0.5755,0.46,1.0636,0.5425,0.5361,1.6431,0.7411,0.8649,0.8723
3.2186,1.7426,1.1462,0.9518,0.7591,0.6884,1.2264,0.9699,0.6103,0.9355,0.5022,0.4763,0.8315,0.5435,0.4179,1.3628,0.7769,0.9711,1.0659
1.9568,1.3841,1.1498,1.1003,0.7222,0.7994,1.2585,1.2912,0.6421,1.01,0.4934,0.5731,0.6756,0.5957,0.6282,0.84,0.7029,0.5605,1.0733
2.0934,1.968,1.143,0.9095,1.2747,0.8606,1.0644,1.1012,0.6041,1.1089,0.5312,0.3891,0.8158,0.486,0.6077,0.8324,0.7472,0.7436,1.2614
1.6818,1.4716,1.3438,0.9522,1.0943,0.5284,0.8871,1.0963,0.7077,1.0102,0.5144,0.3908,0.831,0.7306,0.828,1.0079,0.7265,0.6357,1.2056
1.8955,1.3615,1.1564,0.8151,1.1138,0.763,1.1859,1.2638,0.7573,0.933,0.5139,0.3561,0.7935,0.6808,0.6683,0.9839,0.9234,0.6226,1.0025
2.0795,2.0898,1.4594,0.6793,0.9602,0.7782,1.3386,1.5214,0.5046,1.0089,0.5647,0.4464,0.7277,0.6994,0.7945,0.8307,0.9149,0.8982,1.1694
2.1208,1.9415,1.6604,0.7928,0.8821,0.6597,1.0332,1.7259,0.8202,1.0923,0.4181,0.5562,0.9771,0.534,0.5863,0.8886,0.7108,1.0204,1.0247
3.469,1.6398,1.1854,1.086,1.3189,0.699,0.7079,1.1858,0.7378,1.0411,0.4978,0.494,0.7068,0.5472,0.6577,0.9537,0.8082,0.8368,1.0911
2.8474,1.5694,1.3323,0.7114,1.3398,0.7547,1.3646,1.2666,0.5874,0.8478,0.4782,0.5545,1.0605,0.6058,0.8237,0.7606,1.029,0.7459,1.4768
1.9939,1.7021,0.9899,0.5734,1.2813,0.628,1.1879,1.7651,0.6478,0.7759,0.4657,0.4934,0.7493,0.5545,0.6716,1.1327,0.8629,0.973,1.0837
